País,Liga,Temporada,Fecha,Equipo Local,Equipo Visitante,Goles Local,Goles Visitante,Resultado,Goles Medio Tiempo Local,Goles Medio Tiempo Visitante,Resultado Medio Tiempo,Puntos Local,Puntos Visitante
Mexico,Liga MX,2015/2016,2015-10-24,Santos Laguna,Cruz Azul,1.0,2.0,A,1.0,2.0,A,0,3
Mexico,Liga MX,2015/2016,2015-10-24,Club America,Queretaro,0.0,1.0,A,0.0,1.0,A,0,3
Mexico,Liga MX,2015/2016,2015-10-25,Monterrey,Club Tijuana,3.0,1.0,H,3.0,1.0,H,3,0
Mexico,Liga MX,2015/2016,2015-10-25,Pachuca,Monarcas,2.0,0.0,H,2.0,0.0,H,3,0
Mexico,Liga MX,2015/2016,2015-10-25,Dorados de Sinaloa,Tigres UANL,0.0,0.0,D,0.0,0.0,D,1,1
Mexico,Liga MX,2015/2016,2015-10-25,UNAM Pumas,Chiapas,2.0,3.0,A,2.0,3.0,A,0,3
Mexico,Liga MX,2015/2016,2015-10-25,Puebla,Club Leon,1.0,0.0,H,1.0,0.0,H,3,0
Mexico,Liga MX,2015/2016,2015-10-31,Queretaro,Monterrey,3.0,1.0,H,3.0,1.0,H,3,0
Mexico,Liga MX,2015/2016,2015-10-31,Club Tijuana,UNAM Pumas,1.0,2.0,A,1.0,2.0,A,0,3
Mexico,Liga MX,2015/2016,2015-10-31,Cruz Azul,Veracruz,1.0,1.0,D,1.0,1.0,D,1,1
Mexico,Liga MX,2015/2016,2015-11-01,Tigres UANL,Santos Laguna,2.0,2.0,D,2.0,2.0,D,1,1
Mexico,Liga MX,2015/2016,2015-11-01,Club Leon,Atlas,2.0,1.0,H,2.0,1.0,H,3,0
Mexico,Liga MX,2015/2016,2015-11-01,Monarcas,Dorados de Sinaloa,4.0,0.0,H,4.0,0.0,H,3,0
Mexico,Liga MX,2015/2016,2015-11-01,Chiapas,Puebla,1.0,0.0,H,1.0,0.0,H,3,0
Mexico,Liga MX,2015/2016,2015-11-01,Toluca,Club America,2.0,3.0,A,2.0,3.0,A,0,3
Mexico,Liga MX,2015/2016,2015-11-01,Guadalajara Chivas,Pachuca,4.0,4.0,D,4.0,4.0,D,1,1
Mexico,Liga MX,2015/2016,2015-11-07,Veracruz,Tigres UANL,1.0,3.0,A,1.0,3.0,A,0,3
Mexico,Liga MX,2015/2016,2015-11-07,Santos Laguna,Monarcas,2.0,3.0,A,2.0,3.0,A,0,3
Mexico,Liga MX,2015/2016,2015-11-07,Cruz Azul,Toluca,1.0,2.0,A,1.0,2.0,A,0,3
Mexico,Liga MX,2015/2016,2015-11-08,Monterrey,Club America,2.0,1.0,H,2.0,1.0,H,3,0
Mexico,Liga MX,2015/2016,2015-11-08,Pachuca,Club Leon,3.0,2.0,H,3.0,2.0,H,3,0
Mexico,Liga MX,2015/2016,2015-11-08,Atlas,Chiapas,2.0,3.0,A,2.0,3.0,A,0,3
Mexico,Liga MX,2015/2016,2015-11-08,Dorados de Sinaloa,Guadalajara Chivas,2.0,1.0,H,2.0,1.0,H,3,0
Mexico,Liga MX,2015/2016,2015-11-08,UNAM Pumas,Queretaro,2.0,1.0,H,2.0,1.0,H,3,0
Mexico,Liga MX,2015/2016,2015-11-08,Puebla,Club Tijuana,2.0,1.0,H,2.0,1.0,H,3,0
Mexico,Liga MX,2015/2016,2015-11-11,Dorados de Sinaloa,Veracruz,0.0,0.0,D,0.0,0.0,D,1,1
Mexico,Liga MX,2015/2016,2015-11-12,Atlas,Guadalajara Chivas,0.0,1.0,A,0.0,1.0,A,0,3
Mexico,Liga MX,2015/2016,2015-11-15,Pachuca,Cruz Azul,1.0,2.0,A,1.0,2.0,A,0,3
Mexico,Liga MX,2015/2016,2015-11-21,Queretaro,Puebla,0.0,0.0,D,0.0,0.0,D,1,1
Mexico,Liga MX,2015/2016,2015-11-21,Club Tijuana,Atlas,2.0,0.0,H,2.0,0.0,H,3,0
Mexico,Liga MX,2015/2016,2015-11-21,Club America,UNAM Pumas,1.0,1.0,D,1.0,1.0,D,1,1
Mexico,Liga MX,2015/2016,2015-11-22,Tigres UANL,Cruz Azul,0.0,0.0,D,0.0,0.0,D,1,1
Mexico,Liga MX,2015/2016,2015-11-22,Club Leon,Dorados de Sinaloa,3.0,0.0,H,3.0,0.0,H,3,0
Mexico,Liga MX,2015/2016,2015-11-22,Monarcas,Veracruz,1.0,2.0,A,1.0,2.0,A,0,3
Mexico,Liga MX,2015/2016,2015-11-22,Chiapas,Pachuca,3.0,2.0,H,3.0,2.0,H,3,0
Mexico,Liga MX,2015/2016,2015-11-22,Toluca,Monterrey,3.0,1.0,H,3.0,1.0,H,3,0
Mexico,Liga MX,2015/2016,2015-11-22,Guadalajara Chivas,Santos Laguna,0.0,3.0,A,0.0,3.0,A,0,3
Mexico,Liga MX,2015/2016,2015-11-26,Club America,Club Leon,4.0,1.0,H,4.0,1.0,H,3,0
Mexico,Liga MX,2015/2016,2015-11-26,Tigres UANL,Chiapas,2.0,1.0,H,2.0,1.0,H,3,0
Mexico,Liga MX,2015/2016,2015-11-27,Veracruz,UNAM Pumas,1.0,0.0,H,1.0,0.0,H,3,0
Mexico,Liga MX,2015/2016,2015-11-27,Puebla,Toluca,2.0,2.0,D,2.0,2.0,D,1,1
Mexico,Liga MX,2015/2016,2015-11-29,Chiapas,Tigres UANL,0.0,1.0,A,0.0,1.0,A,0,3
Mexico,Liga MX,2015/2016,2015-11-29,Club Leon,Club America,2.0,1.0,H,2.0,1.0,H,3,0
Mexico,Liga MX,2015/2016,2015-11-29,UNAM Pumas,Veracruz,1.0,0.0,H,1.0,0.0,H,3,0
Mexico,Liga MX,2015/2016,2015-11-29,Toluca,Puebla,1.0,0.0,H,1.0,0.0,H,3,0
Mexico,Liga MX,2015/2016,2015-12-04,Club America,UNAM Pumas,0.0,3.0,A,0.0,3.0,A,0,3
Mexico,Liga MX,2015/2016,2015-12-04,Tigres UANL,Toluca,0.0,0.0,D,0.0,0.0,D,1,1
Mexico,Liga MX,2015/2016,2015-12-06,UNAM Pumas,Club America,1.0,3.0,A,1.0,3.0,A,0,3
Mexico,Liga MX,2015/2016,2015-12-07,Toluca,Tigres UANL,0.0,2.0,A,0.0,2.0,A,0,3
Mexico,Liga MX,2015/2016,2015-12-11,Tigres UANL,UNAM Pumas,3.0,0.0,H,3.0,0.0,H,3,0
Mexico,Liga MX,2015/2016,2015-12-14,UNAM Pumas,Tigres UANL,3.0,0.0,H,3.0,0.0,H,3,0
Mexico,Liga MX,2015/2016,2016-01-09,Queretaro,Atlas,1.0,3.0,A,1.0,3.0,A,0,3
Mexico,Liga MX,2015/2016,2016-01-09,Club Tijuana,Pachuca,1.0,1.0,D,1.0,1.0,D,1,1
Mexico,Liga MX,2015/2016,2016-01-09,Club America,Puebla,0.0,0.0,D,0.0,0.0,D,1,1
Mexico,Liga MX,2015/2016,2016-01-10,Monterrey,UNAM Pumas,1.0,0.0,H,1.0,0.0,H,3,0
Mexico,Liga MX,2015/2016,2016-01-10,Club Leon,Santos Laguna,2.0,0.0,H,2.0,0.0,H,3,0
Mexico,Liga MX,2015/2016,2016-01-10,Monarcas,Cruz Azul,2.0,2.0,D,2.0,2.0,D,1,1
Mexico,Liga MX,2015/2016,2016-01-10,Chiapas,Dorados de Sinaloa,1.0,0.0,H,1.0,0.0,H,3,0
Mexico,Liga MX,2015/2016,2016-01-10,Toluca,Tigres UANL,1.0,0.0,H,1.0,0.0,H,3,0
Mexico,Liga MX,2015/2016,2016-01-10,Guadalajara Chivas,Veracruz,2.0,2.0,D,2.0,2.0,D,1,1
Mexico,Liga MX,2015/2016,2016-01-16,Veracruz,Club Leon,1.0,3.0,A,1.0,3.0,A,0,3
Mexico,Liga MX,2015/2016,2016-01-16,Santos Laguna,Chiapas,1.0,0.0,H,1.0,0.0,H,3,0
Mexico,Liga MX,2015/2016,2016-01-16,Cruz Azul,Guadalajara Chivas,1.0,1.0,D,1.0,1.0,D,1,1
Mexico,Liga MX,2015/2016,2016-01-17,Tigres UANL,Monarcas,2.0,0.0,H,2.0,0.0,H,3,0
Mexico,Liga MX,2015/2016,2016-01-17,Pachuca,Queretaro,1.0,0.0,H,1.0,0.0,H,3,0
Mexico,Liga MX,2015/2016,2016-01-17,Atlas,Club America,0.0,3.0,A,0.0,3.0,A,0,3
Mexico,Liga MX,2015/2016,2016-01-17,Dorados de Sinaloa,Club Tijuana,0.0,1.0,A,0.0,1.0,A,0,3
Mexico,Liga MX,2015/2016,2016-01-17,UNAM Pumas,Toluca,3.0,2.0,H,3.0,2.0,H,3,0
Mexico,Liga MX,2015/2016,2016-01-17,Puebla,Monterrey,1.0,3.0,A,1.0,3.0,A,0,3
Mexico,Liga MX,2015/2016,2016-01-23,Queretaro,Dorados de Sinaloa,3.0,0.0,H,3.0,0.0,H,3,0
Mexico,Liga MX,2015/2016,2016-01-23,Club Tijuana,Santos Laguna,1.0,3.0,A,1.0,3.0,A,0,3
Mexico,Liga MX,2015/2016,2016-01-23,Club America,Pachuca,1.0,4.0,A,1.0,4.0,A,0,3
Mexico,Liga MX,2015/2016,2016-01-24,Monterrey,Atlas,1.0,0.0,H,1.0,0.0,H,3,0
Mexico,Liga MX,2015/2016,2016-01-24,Club Leon,Cruz Azul,3.0,2.0,H,3.0,2.0,H,3,0
Mexico,Liga MX,2015/2016,2016-01-24,Monarcas,Toluca,1.0,1.0,D,1.0,1.0,D,1,1
Mexico,Liga MX,2015/2016,2016-01-24,Chiapas,Veracruz,1.0,1.0,D,1.0,1.0,D,1,1
Mexico,Liga MX,2015/2016,2016-01-24,UNAM Pumas,Puebla,0.0,1.0,A,0.0,1.0,A,0,3
Mexico,Liga MX,2015/2016,2016-01-24,Guadalajara Chivas,Tigres UANL,2.0,2.0,D,2.0,2.0,D,1,1
Mexico,Liga MX,2015/2016,2016-01-30,Santos Laguna,Queretaro,2.0,0.0,H,2.0,0.0,H,3,0
Mexico,Liga MX,2015/2016,2016-01-30,Veracruz,Club Tijuana,2.0,2.0,D,2.0,2.0,D,1,1
Mexico,Liga MX,2015/2016,2016-01-30,Cruz Azul,Chiapas,2.0,1.0,H,2.0,1.0,H,3,0
Mexico,Liga MX,2015/2016,2016-01-31,Monarcas,Guadalajara Chivas,2.0,0.0,H,2.0,0.0,H,3,0
Mexico,Liga MX,2015/2016,2016-01-31,Tigres UANL,Club Leon,3.0,1.0,H,3.0,1.0,H,3,0
Mexico,Liga MX,2015/2016,2016-01-31,Pachuca,Monterrey,3.0,1.0,H,3.0,1.0,H,3,0
Mexico,Liga MX,2015/2016,2016-01-31,Atlas,UNAM Pumas,1.0,1.0,D,1.0,1.0,D,1,1
Mexico,Liga MX,2015/2016,2016-01-31,Dorados de Sinaloa,Club America,0.0,3.0,A,0.0,3.0,A,0,3
Mexico,Liga MX,2015/2016,2016-01-31,Toluca,Puebla,1.0,1.0,D,1.0,1.0,D,1,1
Mexico,Liga MX,2015/2016,2016-02-06,Queretaro,Veracruz,2.0,1.0,H,2.0,1.0,H,3,0
Mexico,Liga MX,2015/2016,2016-02-06,Chiapas,Tigres UANL,1.0,3.0,A,1.0,3.0,A,0,3
Mexico,Liga MX,2015/2016,2016-02-06,Club Tijuana,Cruz Azul,1.0,1.0,D,1.0,1.0,D,1,1
Mexico,Liga MX,2015/2016,2016-02-06,Club America,Santos Laguna,2.0,0.0,H,2.0,0.0,H,3,0
Mexico,Liga MX,2015/2016,2016-02-07,Monterrey,Dorados de Sinaloa,3.0,0.0,H,3.0,0.0,H,3,0
Mexico,Liga MX,2015/2016,2016-02-07,Puebla,Atlas,4.0,1.0,H,4.0,1.0,H,3,0
Mexico,Liga MX,2015/2016,2016-02-07,Club Leon,Monarcas,1.0,2.0,A,1.0,2.0,A,0,3
Mexico,Liga MX,2015/2016,2016-02-07,Guadalajara Chivas,Toluca,1.0,1.0,D,1.0,1.0,D,1,1
Mexico,Liga MX,2015/2016,2016-02-07,UNAM Pumas,Pachuca,1.0,1.0,D,1.0,1.0,D,1,1
Mexico,Liga MX,2015/2016,2016-02-13,Veracruz,Club America,1.0,1.0,D,1.0,1.0,D,1,1
Mexico,Liga MX,2015/2016,2016-02-13,Toluca,Atlas,1.0,1.0,D,1.0,1.0,D,1,1
Mexico,Liga MX,2015/2016,2016-02-13,Santos Laguna,Monterrey,1.0,2.0,A,1.0,2.0,A,0,3
Mexico,Liga MX,2015/2016,2016-02-13,Cruz Azul,Queretaro,2.0,1.0,H,2.0,1.0,H,3,0
Mexico,Liga MX,2015/2016,2016-02-14,Tigres UANL,Club Tijuana,1.0,2.0,A,1.0,2.0,A,0,3
Mexico,Liga MX,2015/2016,2016-02-14,Dorados de Sinaloa,UNAM Pumas,2.0,3.0,A,2.0,3.0,A,0,3
Mexico,Liga MX,2015/2016,2016-02-14,Guadalajara Chivas,Club Leon,0.0,1.0,A,0.0,1.0,A,0,3
Mexico,Liga MX,2015/2016,2016-02-15,Pachuca,Puebla,5.0,2.0,H,5.0,2.0,H,3,0
Mexico,Liga MX,2015/2016,2016-02-20,Queretaro,Tigres UANL,2.0,2.0,D,2.0,2.0,D,1,1
Mexico,Liga MX,2015/2016,2016-02-20,Club Tijuana,Monarcas,1.0,1.0,D,1.0,1.0,D,1,1
Mexico,Liga MX,2015/2016,2016-02-20,Club America,Cruz Azul,3.0,3.0,D,3.0,3.0,D,1,1
Mexico,Liga MX,2015/2016,2016-02-21,Monterrey,Veracruz,5.0,1.0,H,5.0,1.0,H,3,0
Mexico,Liga MX,2015/2016,2016-02-21,Club Leon,Toluca,5.0,1.0,H,5.0,1.0,H,3,0
Mexico,Liga MX,2015/2016,2016-02-21,Atlas,Pachuca,1.0,0.0,H,1.0,0.0,H,3,0
Mexico,Liga MX,2015/2016,2016-02-21,Chiapas,Guadalajara Chivas,1.0,1.0,D,1.0,1.0,D,1,1
Mexico,Liga MX,2015/2016,2016-02-21,UNAM Pumas,Santos Laguna,1.0,1.0,D,1.0,1.0,D,1,1
Mexico,Liga MX,2015/2016,2016-02-21,Puebla,Dorados de Sinaloa,3.0,2.0,H,3.0,2.0,H,3,0
Mexico,Liga MX,2015/2016,2016-02-27,Veracruz,UNAM Pumas,0.0,0.0,D,0.0,0.0,D,1,1
Mexico,Liga MX,2015/2016,2016-02-27,Cruz Azul,Monterrey,4.0,0.0,H,4.0,0.0,H,3,0
Mexico,Liga MX,2015/2016,2016-02-28,Santos Laguna,Puebla,1.0,1.0,D,1.0,1.0,D,1,1
Mexico,Liga MX,2015/2016,2016-02-28,Tigres UANL,Club America,4.0,1.0,H,4.0,1.0,H,3,0
Mexico,Liga MX,2015/2016,2016-02-28,Club Leon,Chiapas,1.0,3.0,A,1.0,3.0,A,0,3
Mexico,Liga MX,2015/2016,2016-02-28,Monarcas,Queretaro,1.0,1.0,D,1.0,1.0,D,1,1
Mexico,Liga MX,2015/2016,2016-02-28,Dorados de Sinaloa,Atlas,2.0,1.0,H,2.0,1.0,H,3,0
Mexico,Liga MX,2015/2016,2016-02-28,Toluca,Pachuca,0.0,1.0,A,0.0,1.0,A,0,3
Mexico,Liga MX,2015/2016,2016-02-28,Guadalajara Chivas,Club Tijuana,1.0,1.0,D,1.0,1.0,D,1,1
Mexico,Liga MX,2015/2016,2016-03-05,Club Tijuana,Club Leon,0.0,0.0,D,0.0,0.0,D,1,1
Mexico,Liga MX,2015/2016,2016-03-05,Club America,Monarcas,4.0,1.0,H,4.0,1.0,H,3,0
Mexico,Liga MX,2015/2016,2016-03-06,Queretaro,Guadalajara Chivas,0.0,2.0,A,0.0,2.0,A,0,3
Mexico,Liga MX,2015/2016,2016-03-06,Monterrey,Tigres UANL,1.0,0.0,H,1.0,0.0,H,3,0
Mexico,Liga MX,2015/2016,2016-03-06,Pachuca,Dorados de Sinaloa,2.0,2.0,D,2.0,2.0,D,1,1
